invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax,total,cost_of_goods_sold,gross_margin_pct,gross_income,payment,date,time,day_of_week,month,rating,discount_pct,membership_years,customer_age
INV-237337,A,Mumbai,Normal,Male,Sports,1903.97,8,761.59,15993.35,15231.76,0.05,799.67,Credit Card,2023-07-08,12:38,Saturday,July,3,3.0,10,38
INV-164820,A,Bangalore,Member,Female,Sports,1701.86,8,680.74,14295.62,13614.88,0.05,714.78,Credit Card,2023-06-01,10:21,Thursday,June,2,21.66,13,52
INV-521909,A,Mumbai,Member,Female,Clothing,53.85,5,13.46,282.71,269.25,0.05,14.14,Credit Card,2023-06-10,19:57,Saturday,June,9,8.74,10,56
INV-655839,B,Bangalore,Normal,Female,Sports,281.0,3,42.15,885.15,843.0,0.05,44.26,UPI,2023-12-30,14:51,Saturday,December,9,1.39,2,21
INV-339931,C,Delhi,Member,Female,Sports,894.09,7,312.93,6571.56,6258.63,0.05,328.58,UPI,2023-10-01,11:24,Sunday,October,2,11.56,9,16
INV-922352,C,Bangalore,Normal,Female,Electronics,3436.95,7,1202.93,25261.58,24058.649999999998,0.05,1263.08,UPI,2023-09-21,10:13,Thursday,September,4,5.47,3,16
INV-371836,C,Mumbai,Normal,Male,Sports,2154.52,6,646.36,13573.48,12927.119999999999,0.05,678.67,Cash,2023-04-16,11:53,Sunday,April,2,23.25,1,24
INV-679879,B,Mumbai,Member,Male,Electronics,4479.4,8,1791.76,37626.96,35835.2,0.05,1881.35,Cash,2023-08-03,19:56,Thursday,August,5,11.66,1,61
INV-616588,C,Mumbai,Normal,Male,Electronics,4152.25,9,1868.51,39238.76,37370.25,0.05,1961.94,Cash,2023-09-09,19:59,Saturday,September,9,8.89,12,15
INV-233767,C,Delhi,Member,Male,Electronics,127.4,9,57.33,1203.93,1146.6000000000001,0.05,60.2,Credit Card,2023-12-10,08:43,Sunday,December,8,0.42,2,31
INV-234633,B,Delhi,Member,Female,Home Appliances,3571.14,3,535.67,11249.09,10713.42,0.05,562.45,UPI,2023-10-16,18:04,Monday,October,7,19.53,11,21
INV-701661,C,Delhi,Member,Female,Electronics,4257.69,2,425.77,8941.15,8515.38,0.05,447.06,UPI,2023-02-02,14:22,Thursday,February,8,19.98,11,54
INV-572525,A,Mumbai,Member,Male,Sports,1409.87,3,211.48,4441.09,4229.61,0.05,222.05,UPI,2023-08-15,12:46,Tuesday,August,3,22.82,9,28
INV-647707,A,Mumbai,Member,Female,Electronics,2494.29,9,1122.43,23571.04,22448.61,0.05,1178.55,UPI,2023-07-26,17:41,Wednesday,July,3,0.94,6,63
INV-827270,C,Delhi,Normal,Female,Home Appliances,1606.06,4,321.21,6745.45,6424.24,0.05,337.27,Cash,2023-08-10,12:22,Thursday,August,4,28.29,6,36
INV-867595,C,Mumbai,Normal,Male,Cosmetics,4408.32,9,1983.74,41658.62,39674.88,0.05,2082.93,Credit Card,2023-05-14,19:27,Sunday,May,4,26.78,10,42
INV-717075,B,Delhi,Member,Male,Clothing,1813.67,1,90.68,1904.35,1813.67,0.05,95.22,Cash,2023-10-10,21:56,Tuesday,October,9,9.14,5,22
INV-265838,B,Bangalore,Member,Female,Clothing,2693.74,5,673.43,14142.13,13468.699999999999,0.05,707.11,Cash,2023-08-13,10:41,Sunday,August,6,6.56,7,55
INV-865313,C,Mumbai,Member,Female,Groceries,2048.99,1,102.45,2151.44,2048.99,0.05,107.57,Cash,2023-02-21,19:38,Tuesday,February,3,9.03,0,31
INV-494070,B,Bangalore,Member,Male,Clothing,1370.57,2,137.06,2878.2,2741.14,0.05,143.91,UPI,2023-05-10,19:53,Wednesday,May,5,10.35,0,33
INV-781669,B,Delhi,Normal,Female,Electronics,3419.49,5,854.87,17952.32,17097.449999999997,0.05,897.62,UPI,2023-06-21,17:31,Wednesday,June,7,20.16,10,31
INV-713333,A,Delhi,Member,Female,Sports,3654.67,8,1461.87,30699.23,29237.36,0.05,1534.96,UPI,2023-11-21,11:33,Tuesday,November,1,4.52,10,20
INV-212547,A,Mumbai,Member,Female,Sports,3494.27,3,524.14,11006.95,10482.81,0.05,550.35,Cash,2023-05-28,19:58,Sunday,May,3,21.33,14,33
INV-577095,A,Delhi,Member,Male,Groceries,1775.9,7,621.57,13052.87,12431.300000000001,0.05,652.64,Cash,2023-11-04,16:32,Saturday,November,7,28.1,0,25
INV-654594,B,Delhi,Member,Female,Cosmetics,1738.28,9,782.23,16426.75,15644.52,0.05,821.34,Cash,2023-05-31,21:41,Wednesday,May,7,19.8,9,62
INV-475037,C,Delhi,Normal,Female,Sports,2798.24,1,139.91,2938.15,2798.24,0.05,146.91,UPI,2023-01-02,08:47,Monday,January,5,27.01,10,23
INV-630583,C,Mumbai,Normal,Male,Sports,1430.41,3,214.56,4505.79,4291.2300000000005,0.05,225.29,Credit Card,2023-10-31,10:19,Tuesday,October,6,23.4,7,25
INV-757917,B,Bangalore,Member,Male,Home Appliances,4681.39,4,936.28,19661.84,18725.56,0.05,983.09,Credit Card,2023-04-14,11:34,Friday,April,9,19.91,12,32
INV-554351,A,Delhi,Normal,Female,Cosmetics,846.0,2,84.6,1776.6,1692.0,0.05,88.83,Credit Card,2023-07-13,13:34,Thursday,July,9,5.28,3,47
INV-956703,B,Delhi,Normal,Male,Groceries,2494.77,4,498.95,10478.03,9979.08,0.05,523.9,Cash,2023-05-15,10:16,Monday,May,1,16.28,10,36
INV-962645,C,Bangalore,Normal,Female,Electronics,1362.75,6,408.83,8585.33,8176.5,0.05,429.27,Credit Card,2023-08-18,20:50,Friday,August,8,18.93,1,35
INV-727234,B,Bangalore,Member,Male,Electronics,2538.05,1,126.9,2664.95,2538.05,0.05,133.25,UPI,2023-11-13,10:03,Monday,November,1,1.31,11,42
INV-425352,A,Mumbai,Member,Female,Electronics,2376.23,5,594.06,12475.21,11881.15,0.05,623.76,UPI,2023-01-06,10:59,Friday,January,5,27.85,0,60
INV-165726,A,Bangalore,Member,Female,Sports,4834.94,3,725.24,15230.06,14504.82,0.05,761.5,UPI,2023-07-07,08:51,Friday,July,5,5.73,0,17
INV-465890,A,Mumbai,Normal,Male,Electronics,888.99,9,400.05,8400.96,8000.91,0.05,420.05,Credit Card,2023-08-11,13:57,Friday,August,8,2.11,1,46
INV-855073,A,Mumbai,Member,Male,Groceries,3372.16,7,1180.26,24785.38,23605.12,0.05,1239.27,Cash,2023-05-07,18:41,Sunday,May,1,25.46,8,57
INV-335362,B,Delhi,Normal,Male,Groceries,3559.11,7,1245.69,26159.46,24913.77,0.05,1307.97,Credit Card,2023-06-19,14:25,Monday,June,2,26.01,12,21
INV-694319,C,Mumbai,Member,Male,Clothing,2532.51,4,506.5,10636.54,10130.04,0.05,531.83,Credit Card,2023-11-17,15:45,Friday,November,3,10.14,11,48
INV-152921,C,Delhi,Normal,Female,Electronics,515.21,7,180.32,3786.79,3606.4700000000003,0.05,189.34,UPI,2023-12-08,10:24,Friday,December,6,17.72,5,63
INV-561243,A,Delhi,Member,Female,Clothing,234.87,6,70.46,1479.68,1409.22,0.05,73.98,Cash,2023-09-28,13:42,Thursday,September,5,15.67,4,58
INV-289407,A,Delhi,Normal,Male,Groceries,4828.0,7,1689.8,35485.8,33796.0,0.05,1774.29,Cash,2023-07-15,13:44,Saturday,July,4,12.34,2,54
INV-322866,A,Bangalore,Normal,Female,Sports,3644.15,2,364.42,7652.72,7288.3,0.05,382.64,Credit Card,2023-05-04,17:29,Thursday,May,1,11.96,2,42
INV-494366,C,Mumbai,Normal,Female,Cosmetics,3733.01,5,933.25,19598.3,18665.050000000003,0.05,979.91,UPI,2023-04-27,21:22,Thursday,April,9,20.65,0,15
INV-287628,B,Bangalore,Member,Male,Cosmetics,2239.64,6,671.89,14109.73,13437.84,0.05,705.49,UPI,2023-02-17,16:39,Friday,February,5,19.15,12,53
INV-566882,B,Bangalore,Normal,Female,Clothing,3302.7,5,825.68,17339.18,16513.5,0.05,866.96,UPI,2023-10-05,20:54,Thursday,October,3,22.74,8,43
INV-178781,A,Bangalore,Normal,Female,Home Appliances,624.56,5,156.14,3278.94,3122.7999999999997,0.05,163.95,Credit Card,2023-02-16,08:29,Thursday,February,4,5.26,9,40
INV-595972,C,Delhi,Member,Male,Sports,2483.5,7,869.23,18253.73,17384.5,0.05,912.69,UPI,2023-04-10,08:29,Monday,April,7,1.44,5,19
INV-472370,C,Delhi,Member,Male,Sports,4439.07,4,887.81,18644.09,17756.28,0.05,932.2,Credit Card,2023-08-11,17:57,Friday,August,1,16.18,12,18
INV-453151,B,Delhi,Member,Female,Sports,3098.46,7,1084.46,22773.68,21689.22,0.05,1138.68,Cash,2023-09-15,08:27,Friday,September,4,17.26,1,49
INV-990123,B,Mumbai,Normal,Male,Electronics,3234.28,1,161.71,3395.99,3234.28,0.05,169.8,UPI,2023-06-28,18:36,Wednesday,June,3,24.61,7,24
INV-724674,B,Mumbai,Member,Male,Home Appliances,1073.09,2,107.31,2253.49,2146.18,0.05,112.67,Cash,2023-09-10,10:49,Sunday,September,7,2.14,7,43
INV-103267,C,Mumbai,Member,Female,Home Appliances,4232.13,2,423.21,8887.47,8464.26,0.05,444.37,Credit Card,2023-04-25,16:06,Tuesday,April,5,10.45,10,43
INV-616771,C,Bangalore,Normal,Male,Clothing,243.97,9,109.79,2305.52,2195.73,0.05,115.28,UPI,2023-10-04,20:56,Wednesday,October,5,22.52,2,63
INV-500573,A,Bangalore,Member,Male,Cosmetics,3671.66,4,734.33,15420.97,14686.64,0.05,771.05,UPI,2023-04-06,15:22,Thursday,April,5,7.16,6,27
INV-734736,A,Mumbai,Member,Male,Electronics,3712.55,3,556.88,11694.53,11137.650000000001,0.05,584.73,Cash,2023-12-27,21:16,Wednesday,December,4,24.79,5,27
INV-825256,C,Delhi,Normal,Female,Electronics,4482.84,1,224.14,4706.98,4482.84,0.05,235.35,Credit Card,2023-04-10,19:40,Monday,April,7,28.7,14,33
INV-320184,A,Mumbai,Member,Female,Groceries,2490.48,5,622.62,13075.02,12452.4,0.05,653.75,Credit Card,2023-03-10,10:11,Friday,March,4,20.18,3,37
INV-645977,C,Mumbai,Normal,Female,Sports,3917.42,7,1371.1,28793.04,27421.940000000002,0.05,1439.65,UPI,2023-04-19,12:41,Wednesday,April,7,29.88,9,19
INV-254697,B,Mumbai,Normal,Female,Electronics,3698.33,2,369.83,7766.49,7396.66,0.05,388.32,Credit Card,2023-08-27,19:08,Sunday,August,1,3.03,6,60
INV-314532,C,Delhi,Member,Female,Groceries,3519.8,9,1583.91,33262.11,31678.2,0.05,1663.11,UPI,2023-10-10,17:01,Tuesday,October,5,7.0,7,62
INV-494540,B,Bangalore,Normal,Male,Clothing,4322.54,6,1296.76,27232.0,25935.239999999998,0.05,1361.6,UPI,2023-05-25,14:24,Thursday,May,4,10.51,11,45
INV-548345,C,Mumbai,Normal,Male,Electronics,2434.25,6,730.28,15335.78,14605.5,0.05,766.79,UPI,2023-06-16,18:09,Friday,June,3,3.34,2,59
INV-938656,B,Delhi,Normal,Male,Groceries,106.2,4,21.24,446.04,424.8,0.05,22.3,Credit Card,2023-11-13,16:38,Monday,November,3,17.5,13,63
INV-922827,B,Bangalore,Normal,Female,Cosmetics,460.31,1,23.02,483.33,460.31,0.05,24.17,Credit Card,2023-04-27,13:57,Thursday,April,5,1.3,4,25
INV-738353,A,Delhi,Normal,Female,Clothing,4599.62,4,919.92,19318.4,18398.48,0.05,965.92,Credit Card,2023-08-15,10:19,Tuesday,August,9,6.5,14,45
INV-965291,C,Bangalore,Member,Female,Clothing,4979.37,6,1493.81,31370.03,29876.22,0.05,1568.5,UPI,2023-09-16,14:56,Saturday,September,8,11.84,7,42
INV-730075,C,Delhi,Normal,Female,Groceries,1711.52,4,342.3,7188.38,6846.08,0.05,359.42,Cash,2023-03-31,15:57,Friday,March,2,7.98,4,55
INV-417428,C,Bangalore,Normal,Female,Cosmetics,1336.75,6,401.03,8421.53,8020.5,0.05,421.08,Cash,2023-05-25,16:32,Thursday,May,4,18.08,12,27
INV-675278,B,Bangalore,Member,Female,Sports,4559.09,6,1367.73,28722.27,27354.54,0.05,1436.11,Cash,2023-03-23,10:04,Thursday,March,9,12.55,7,44
INV-161813,B,Delhi,Member,Female,Cosmetics,4337.02,5,1084.26,22769.36,21685.100000000002,0.05,1138.47,Credit Card,2023-04-29,15:32,Saturday,April,1,14.41,14,63
INV-932972,C,Bangalore,Normal,Female,Electronics,1914.86,9,861.69,18095.43,17233.739999999998,0.05,904.77,Cash,2023-12-08,18:26,Friday,December,1,14.06,2,15
INV-815460,B,Mumbai,Normal,Female,Sports,117.68,7,41.19,864.95,823.76,0.05,43.25,UPI,2023-01-06,19:16,Friday,January,5,29.9,4,37
INV-244528,C,Delhi,Normal,Female,Home Appliances,3856.49,5,964.12,20246.57,19282.449999999997,0.05,1012.33,Credit Card,2023-07-21,17:18,Friday,July,5,13.52,13,15
INV-605950,C,Bangalore,Normal,Female,Home Appliances,4772.55,4,954.51,20044.71,19090.2,0.05,1002.24,Cash,2023-10-15,09:27,Sunday,October,8,0.67,9,48
INV-740053,B,Bangalore,Normal,Male,Groceries,2407.24,3,361.09,7582.81,7221.719999999999,0.05,379.14,UPI,2023-11-02,19:00,Thursday,November,5,2.65,10,31
INV-964141,A,Mumbai,Normal,Male,Electronics,713.38,7,249.68,5243.34,4993.66,0.05,262.17,UPI,2023-07-26,12:20,Wednesday,July,2,24.15,6,52
INV-828913,B,Bangalore,Member,Male,Electronics,3105.46,2,310.55,6521.47,6210.92,0.05,326.07,Cash,2023-10-21,09:33,Saturday,October,3,27.12,3,52
INV-347940,A,Mumbai,Normal,Male,Groceries,2282.01,7,798.7,16772.77,15974.070000000002,0.05,838.64,UPI,2023-04-16,10:16,Sunday,April,4,13.78,0,24
INV-900820,A,Bangalore,Normal,Female,Clothing,3856.14,4,771.23,16195.79,15424.56,0.05,809.79,UPI,2023-03-10,09:05,Friday,March,2,9.86,10,57
INV-598870,C,Bangalore,Member,Female,Electronics,1238.72,3,185.81,3901.97,3716.16,0.05,195.1,Credit Card,2023-04-21,16:22,Friday,April,6,20.93,3,54
INV-431868,A,Delhi,Member,Male,Groceries,3497.68,9,1573.96,33053.08,31479.12,0.05,1652.65,UPI,2023-07-14,10:26,Friday,July,2,18.06,2,33
INV-441396,A,Mumbai,Member,Male,Clothing,4117.86,2,411.79,8647.51,8235.72,0.05,432.38,Credit Card,2023-04-02,17:21,Sunday,April,6,3.62,8,26
INV-312890,C,Delhi,Normal,Female,Sports,1071.35,2,107.13,2249.83,2142.7,0.05,112.49,UPI,2023-03-19,17:44,Sunday,March,9,2.77,14,36
INV-290471,A,Mumbai,Member,Male,Groceries,454.71,1,22.74,477.45,454.71,0.05,23.87,Cash,2023-01-26,11:00,Thursday,January,1,17.92,3,29
INV-915131,B,Delhi,Member,Female,Home Appliances,2706.12,8,1082.45,22731.41,21648.96,0.05,1136.57,Cash,2023-08-02,21:25,Wednesday,August,7,15.94,1,59
INV-969270,C,Bangalore,Member,Female,Home Appliances,358.59,8,143.44,3012.16,2868.72,0.05,150.61,Credit Card,2023-01-07,10:46,Saturday,January,2,13.42,2,29
INV-347736,B,Delhi,Normal,Female,Electronics,569.1,7,199.19,4182.89,3983.7000000000003,0.05,209.14,Cash,2023-01-28,17:38,Saturday,January,1,6.34,9,58
INV-567010,A,Bangalore,Member,Female,Groceries,1204.42,4,240.88,5058.56,4817.68,0.05,252.93,Credit Card,2023-01-25,11:09,Wednesday,January,9,14.95,14,50
INV-181264,A,Bangalore,Normal,Male,Cosmetics,2708.68,2,270.87,5688.23,5417.36,0.05,284.41,UPI,2023-04-21,15:39,Friday,April,3,11.36,4,20
